latent_id,count
2874,44114
1700,15088
3353,14438
2968,13394
2810,12849
3943,11842
930,11357
3223,11334
186,11334
3930,11011
785,10946
3250,10914
1240,10725
441,10690
335,10661
1735,10565
2860,10401
191,10383
1706,10377
330,10003
1500,9952
3290,9835
1261,9816
2102,9802
3002,9593
138,9386
3855,9222
2753,9133
2164,9098
412,8820
4068,8666
1819,8545
1800,8476
2019,8467
3005,8365
2589,8296
3691,8275
3480,8183
1067,8160
808,8056
1331,7836
619,7760
3816,7616
2132,7614
949,7536
555,7522
3955,7450
838,7343
413,7314
3872,7306
3051,7252
1070,7252
2322,7251
3143,7201
3712,7171
456,7064
2317,7059
3050,7040
3416,7018
2600,6985
3238,6881
4017,6816
2114,6775
2180,6739
1235,6737
309,6686
2304,6653
1952,6638
3724,6499
3578,6471
3496,6450
2938,6417
1394,6415
2659,6407
2265,6380
2669,6378
1797,6351
3643,6341
1818,6338
3447,6313
211,6296
3525,6244
176,6206
1565,6183
298,6179
1229,6133
389,6120
2633,6113
549,6050
3378,6040
2210,6027
210,5959
3949,5940
3937,5933
2338,5894
463,5872
3781,5867
3650,5846
3983,5807
3080,5777
2027,5725
224,5721
3598,5672
2814,5671
3328,5658
2505,5593
2843,5591
1246,5589
75,5574
1806,5568
580,5561
2374,5555
3649,5528
2055,5472
275,5459
3407,5458
1947,5457
1425,5452
2925,5411
2290,5372
627,5358
3639,5277
1289,5258
3991,5235
468,5194
3875,5187
1404,5178
4090,5149
1868,5137
1950,5050
2011,5039
1169,5000
1887,4968
237,4940
2413,4929
2544,4888
261,4865
1489,4843
3352,4838
3439,4830
1466,4826
3309,4820
3212,4795
2420,4758
883,4753
64,4751
3628,4719
1359,4680
1048,4637
3289,4608
1017,4590
803,4572
279,4557
1323,4557
3998,4554
2888,4532
3236,4504
2957,4499
4074,4494
662,4480
2254,4461
3160,4460
471,4452
3958,4423
2837,4398
2090,4396
457,4388
202,4348
3505,4325
1850,4292
3577,4276
3860,4249
2965,4226
2654,4223
1073,4200
1883,4194
455,4188
1341,4175
1168,4171
1078,4163
1748,4163
783,4158
2917,4155
213,4130
1934,4128
3178,4123
1422,4087
1457,4061
3442,4055
1893,4053
2015,4035
3366,4024
3031,3998
3280,3996
3109,3985
1071,3953
308,3929
1970,3917
3876,3882
2486,3826
1332,3810
3452,3809
2990,3802
3766,3796
2078,3795
2825,3780
2076,3779
3844,3774
391,3774
1976,3758
632,3754
3618,3752
1233,3728
4004,3712
1791,3702
1573,3697
876,3663
1993,3658
